Player,Team,Assists,ShotAssists,xAG
Inés Rizo,Levante UD,1,0,0.34
Iris Arnaiz,Sevilla FC,0,1,0.03
Isina,DUX Logroño,0,1,0.05
Itziar Pinillos,FC Badalona Women,0,3,0.11
J. Morcillo,DUX Logroño,0,1,0.07
Jone Amezaga,Athletic Club Bilbao,0,1,0.1
Julia Torres,Sevilla FC,0,1,0.03
K. Cahynová,Real Sociedad de Fútbol,0,2,0.21
K. Melgård,Madrid CFF,1,2,0.9
Kika Nazareth,FC Barcelona,3,3,1.4
L. Caicedo,Real Madrid CF,0,4,1.0
L. Chamorro,FC Badalona Women,0,1,0.1
L. Kullashi,FC Badalona Women,1,0,0.3
L. Solvoll,Granada CF,0,1,0.03
Laura Martínez,Reial Club Deportiu Espanyol,0,6,0.9
Laura Pérez,Granada CF,0,3,0.2
Lauri,Granada CF,0,6,0.39
Leire Baños,Athletic Club Bilbao,0,1,0.06
Leles,Granada CF,0,1,0.05
Luany,Club Atlético de Madrid Féminas,1,2,0.25
Lucía Moral,Sevilla FC,0,1,0.08
Lucía Pardo,Real Sociedad de Fútbol,0,2,0.15
Lucía Rodríguez,Real Sociedad de Fútbol,0,1,0.05
Lucía Vallejo,Reial Club Deportiu Espanyol,0,1,0.37
M. Asenjo,DUX Logroño,0,1,0.15
M. Baquerizo,Granada CF,0,4,0.28
M. Barth,RC Deportivo de La Coruña,0,1,0.05
M. Díaz Leal,Alhama CF,0,1,0.53
M. Marcetto,Madrid CFF,1,0,0.1
Macarena Portales,Club Atlético de Madrid Féminas,0,1,0.08
Maite Zubieta,Athletic Club Bilbao,0,1,0.03
Mapi León,FC Barcelona,2,0,0.16
Maria Barquero,Granada CF,0,1,0.08
Marta Masferrer,DUX Logroño,0,1,0.04
María Llompart,FC Badalona Women,0,1,0.09
María Molina,Real Sociedad de Fútbol,0,1,0.03
María Méndez,Real Madrid CF,0,1,0.03
Mireia Masegur,SD Eibar,0,1,0.1
Naima García,Reial Club Deportiu Espanyol,0,1,0.08
Natalia Ramos,CD Tenerife,0,5,0.52
Nerea Eizagirre,Real Sociedad de Fútbol,0,1,0.47
Núria Mendoza,Madrid CFF,0,2,0.1
Olaya Rodríguez,RC Deportivo de La Coruña,0,11,1.03
Ona Batlle,FC Barcelona,1,2,0.56
Paola Hernández,CD Tenerife,1,2,0.12
Patri Gavira,CD Tenerife,0,1,0.34
Patri Guijarro,FC Barcelona,0,1,0.03
Paula Fernández,Real Sociedad de Fútbol,0,1,0.04
Paula Partido,DUX Logroño,0,1,0.11
R. Carrasco,Levante UD,0,3,0.15
Raquel Pinel,Alhama CF,0,1,0.05
Rosa Márquez,Sevilla FC,0,3,0.37
S. Bruun,Real Madrid CF,0,2,0.51
S. Holmgaard,Real Madrid CF,0,1,0.03
S. Jensen,Club Atlético de Madrid Féminas,1,2,0.25
S. Keefe,Granada CF,0,2,0.17
S. Ortíz,RC Deportivo de La Coruña,1,1,0.13
S. Ouzraoui Diki,CD Tenerife,0,1,0.09
S. Schertenleib,FC Barcelona,0,1,0.07
S. Toletti,Real Madrid CF,1,1,0.13
Salma Paralluelo,FC Barcelona,1,3,0.73
Sara Martín,SD Eibar,0,3,0.16
Silvia Lloris,Club Atlético de Madrid Féminas,0,2,0.38
Sonia Majarín,FC Badalona Women,0,1,0.05
V. Bøe Risa,Club Atlético de Madrid Féminas,0,3,0.17
Vera Molina,Granada CF,0,1,0.1
Vicky López,FC Barcelona,1,1,0.12
Y. Relea,Alhama CF,0,1,0.08
Yasmim,Real Madrid CF,0,1,0.03
Z. Agama,Levante UD,0,2,0.15
Ángela Sosa,Madrid CFF,0,3,0.19
Érika González,Levante UD,0,6,0.36
